"sample_id","side_or_trapnum","watershed","date","dipteran_large","terrestrial_large","caddisfly_large","mayfly_large","stonefly_large","other_large","dipteran_small","terrestrial_small","caddisfly_small","other_small"
NA,"4","1",2018-06-11,NA,1,NA,NA,NA,1,29,1,NA,13
NA,"4","1",2018-06-11,2,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-06-11,2,1,NA,NA,NA,NA,27,3,NA,5
NA,"5","1",2018-06-11,2,1,NA,NA,NA,NA,28,3,NA,NA
NA,"6","1",2018-06-11,3,NA,NA,NA,NA,NA,47,3,NA,14
NA,"6","1",2018-06-11,3,4,NA,NA,NA,NA,43,11,NA,NA
NA,"7","1",2018-06-11,1,NA,NA,NA,NA,1,29,3,NA,13
NA,"7","1",2018-06-11,4,1,1,NA,NA,NA,28,8,NA,NA
NA,"8","1",2018-06-11,3,1,NA,NA,NA,NA,35,2,NA,14
NA,"8","1",2018-06-11,6,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-06-11,NA,1,NA,NA,NA,1,17,NA,NA,3
NA,"9","1",2018-06-11,2,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1","1",2018-06-18,NA,NA,NA,NA,NA,1,20,NA,NA,14
NA,"1","1",2018-06-18,NA,4,NA,NA,1,NA,NA,NA,NA,NA
NA,"10","1",2018-06-18,1,3,NA,NA,1,NA,19,9,NA,NA
NA,"2","1",2018-06-18,1,14,NA,NA,1,NA,41,15,1,NA
NA,"3","1",2018-06-18,2,10,1,NA,1,NA,NA,NA,NA,NA
NA,"4","1",2018-06-18,2,5,NA,NA,1,NA,24,17,NA,NA
NA,"5","1",2018-06-18,2,9,1,NA,2,NA,NA,NA,NA,NA
NA,"6","1",2018-06-18,3,6,NA,NA,2,NA,NA,NA,NA,NA
NA,"7","1",2018-06-18,NA,9,NA,NA,1,NA,NA,NA,NA,NA
NA,"8","1",2018-06-18,1,8,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-06-18,1,5,NA,NA,2,NA,8,8,NA,NA
NA,"1","1",2018-06-25,NA,4,3,NA,NA,NA,8,15,NA,NA
NA,"10","1",2018-06-25,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-06-25,1,9,2,NA,4,NA,NA,NA,NA,NA
NA,"3","1",2018-06-25,3,7,1,NA,1,NA,NA,NA,NA,NA
NA,"4","1",2018-06-25,NA,2,1,NA,NA,NA,12,12,NA,NA
NA,"5","1",2018-06-25,2,8,NA,NA,1,NA,49,10,NA,NA
NA,"6","1",2018-06-25,2,7,3,NA,3,NA,NA,NA,NA,NA
NA,"7","1",2018-06-25,2,7,NA,NA,NA,NA,43,10,NA,NA
NA,"8","1",2018-06-25,NA,2,NA,NA,2,NA,47,8,NA,NA
NA,"9","1",2018-06-25,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1","1",2018-07-02,NA,NA,NA,NA,NA,1,39,4,NA,15
NA,"2","1",2018-07-02,NA,1,NA,NA,NA,6,28,4,NA,12
NA,"5","1",2018-07-02,NA,1,NA,NA,NA,1,27,4,NA,1
NA,"6","1",2018-07-02,NA,NA,NA,NA,NA,2,26,1,NA,6
NA,"1","1",2018-07-09,1,1,NA,NA,NA,7,32,2,NA,15
NA,"10","1",2018-07-09,1,1,NA,NA,NA,2,20,3,NA,7
NA,"2","1",2018-07-09,2,1,NA,NA,NA,8,32,10,NA,25
NA,"3","1",2018-07-09,3,NA,NA,NA,NA,2,17,5,NA,10
NA,"4","1",2018-07-09,2,NA,NA,NA,NA,NA,18,2,NA,10
NA,"5","1",2018-07-09,NA,1,NA,NA,NA,2,16,4,NA,4
NA,"6","1",2018-07-09,NA,NA,NA,NA,NA,NA,19,14,NA,31
NA,"7","1",2018-07-09,NA,NA,NA,NA,NA,9,19,2,NA,15
NA,"8","1",2018-07-09,2,NA,NA,NA,NA,4,22,2,NA,11
NA,"9","1",2018-07-09,NA,NA,NA,NA,NA,2,20,4,NA,16
NA,"1","1",2018-07-16,6,NA,NA,NA,NA,3,17,3,NA,7
NA,"1","1",2018-07-16,3,8,1,NA,NA,NA,18,NA,NA,NA
NA,"10","1",2018-07-16,NA,NA,NA,NA,NA,1,10,NA,NA,2
NA,"10","1",2018-07-16,1,2,NA,NA,NA,NA,8,1,NA,NA
NA,"2","1",2018-07-16,NA,NA,NA,NA,NA,1,6,4,NA,8
NA,"2","1",2018-07-16,NA,7,NA,NA,NA,NA,7,4,NA,NA
NA,"3","1",2018-07-16,3,NA,NA,NA,NA,3,11,1,NA,13
NA,"3","1",2018-07-16,2,5,NA,NA,NA,NA,NA,NA,NA,NA
NA,"4","1",2018-07-16,4,1,NA,NA,NA,7,14,2,NA,14
NA,"4","1",2018-07-16,4,10,NA,NA,2,NA,NA,NA,NA,NA
NA,"5","1",2018-07-16,3,1,NA,NA,NA,5,13,3,NA,23
NA,"5","1",2018-07-16,1,19,2,NA,NA,NA,6,20,NA,NA
NA,"6","1",2018-07-16,3,1,NA,NA,NA,12,29,3,NA,21
NA,"6","1",2018-07-16,3,19,3,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-07-16,NA,NA,NA,NA,NA,NA,14,2,NA,7
NA,"7","1",2018-07-16,1,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,"8","1",2018-07-16,1,NA,NA,NA,NA,1,10,2,NA,4
NA,"8","1",2018-07-16,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-07-16,1,2,NA,NA,NA,3,25,7,NA,22
NA,"9","1",2018-07-16,3,25,NA,NA,1,NA,NA,NA,NA,NA
NA,"1","1",2018-07-23,2,1,NA,NA,NA,4,13,NA,NA,22
NA,"1","1",2018-07-23,1,25,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10","1",2018-07-23,1,1,NA,NA,NA,1,23,2,NA,3
NA,"10","1",2018-07-23,NA,5,NA,NA,NA,NA,14,10,NA,NA
NA,"2","1",2018-07-23,2,NA,NA,NA,NA,1,10,NA,NA,6
NA,"2","1",2018-07-23,1,10,NA,NA,NA,NA,8,2,NA,NA
NA,"3","1",2018-07-23,1,1,NA,NA,NA,NA,14,NA,NA,8
NA,"3","1",2018-07-23,1,12,NA,NA,NA,NA,4,6,NA,NA
NA,"4","1",2018-07-23,4,2,NA,NA,NA,NA,11,NA,NA,2
NA,"4","1",2018-07-23,NA,5,NA,NA,1,NA,NA,NA,NA,NA
NA,"5","1",2018-07-23,1,NA,NA,NA,NA,NA,1,NA,NA,4
NA,"5","1",2018-07-23,1,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"6","1",2018-07-23,2,NA,NA,NA,NA,NA,4,NA,NA,7
NA,"6","1",2018-07-23,1,15,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-07-23,NA,NA,NA,NA,NA,2,4,2,NA,8
NA,"7","1",2018-07-23,1,14,NA,NA,NA,NA,NA,NA,NA,NA
NA,"8","1",2018-07-23,3,NA,NA,NA,1,3,15,2,NA,12
NA,"8","1",2018-07-23,1,17,NA,NA,1,NA,NA,NA,NA,NA
NA,"9","1",2018-07-23,2,2,NA,NA,NA,3,16,4,NA,6
NA,"9","1",2018-07-23,2,13,NA,NA,NA,NA,12,3,NA,NA
NA,"1","1",2018-07-30,3,NA,NA,NA,NA,1,10,1,NA,2
NA,"10","1",2018-07-30,1,NA,NA,NA,NA,NA,10,5,NA,5
NA,"2","1",2018-07-30,1,NA,NA,NA,NA,2,9,1,NA,5
NA,"3","1",2018-07-30,1,NA,NA,NA,NA,7,21,3,NA,5
NA,"4","1",2018-07-30,1,NA,NA,NA,NA,1,8,1,NA,3
NA,"5","1",2018-07-30,2,NA,NA,NA,NA,2,10,2,NA,3
NA,"6","1",2018-07-30,1,NA,NA,NA,NA,1,13,2,NA,3
NA,"7","1",2018-07-30,1,NA,NA,NA,NA,NA,6,4,NA,1
NA,"8","1",2018-07-30,NA,NA,NA,NA,NA,5,17,2,NA,2
NA,"9","1",2018-07-30,1,NA,NA,NA,NA,2,18,NA,NA,1
NA,"1","1",2018-08-06,NA,NA,NA,NA,NA,NA,8,1,NA,2
NA,"1","1",2018-08-06,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10","1",2018-08-06,NA,NA,NA,NA,NA,1,4,3,NA,6
NA,"10","1",2018-08-06,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-08-06,NA,NA,NA,NA,NA,1,13,1,NA,NA
NA,"2","1",2018-08-06,2,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"3","1",2018-08-06,NA,NA,NA,NA,NA,NA,3,NA,NA,1
NA,"3","1",2018-08-06,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"4","1",2018-08-06,NA,NA,NA,NA,NA,1,10,1,NA,8
NA,"4","1",2018-08-06,1,5,NA,NA,NA,NA,10,1,NA,NA
NA,"5","1",2018-08-06,NA,NA,NA,NA,NA,NA,3,1,NA,2
NA,"5","1",2018-08-06,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"6","1",2018-08-06,1,NA,NA,NA,NA,2,14,NA,NA,1
NA,"6","1",2018-08-06,2,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-08-06,NA,NA,NA,NA,NA,NA,5,4,NA,4
NA,"7","1",2018-08-06,NA,4,NA,NA,NA,NA,3,1,NA,NA
NA,"8","1",2018-08-06,NA,NA,NA,NA,NA,NA,12,5,NA,5
NA,"8","1",2018-08-06,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
NA,"9","1",2018-08-06,NA,NA,NA,NA,4,8,6,3,NA,6
NA,"9","1",2018-08-06,NA,11,NA,NA,4,NA,NA,NA,NA,NA
NA,"1","1",2018-08-13,NA,NA,NA,NA,1,2,5,2,NA,4
NA,"1","1",2018-08-13,1,3,NA,NA,1,NA,NA,NA,NA,NA
NA,"10","1",2018-08-13,2,NA,NA,NA,NA,1,6,NA,NA,NA
NA,"10","1",2018-08-13,1,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-08-13,NA,NA,1,NA,1,8,9,2,NA,7
NA,"2","1",2018-08-13,1,11,NA,NA,NA,NA,8,NA,NA,NA
NA,"3","1",2018-08-13,NA,NA,NA,NA,NA,NA,3,5,NA,2
NA,"3","1",2018-08-13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"4","1",2018-08-13,NA,NA,NA,NA,NA,3,8,NA,NA,3
NA,"4","1",2018-08-13,1,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-08-13,NA,1,NA,NA,NA,3,9,2,NA,3
NA,"5","1",2018-08-13,1,7,NA,NA,NA,NA,3,NA,NA,NA
NA,"6","1",2018-08-13,NA,NA,NA,NA,NA,2,7,4,NA,2
NA,"6","1",2018-08-13,1,5,NA,NA,NA,NA,7,NA,NA,NA
NA,"7","1",2018-08-13,1,NA,NA,NA,NA,2,5,NA,NA,NA
NA,"7","1",2018-08-13,2,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"8","1",2018-08-13,NA,NA,NA,NA,NA,5,7,2,NA,4
NA,"8","1",2018-08-13,NA,6,NA,NA,NA,NA,3,NA,NA,NA
NA,"9","1",2018-08-13,NA,NA,NA,NA,NA,1,9,NA,NA,5
NA,"9","1",2018-08-13,3,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1","1",2018-08-20,NA,NA,NA,NA,NA,NA,7,1,NA,NA
NA,"1","1",2018-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10","1",2018-08-20,NA,NA,NA,NA,NA,NA,9,2,NA,3
NA,"10","1",2018-08-20,2,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-08-20,NA,1,NA,NA,NA,4,14,1,NA,7
NA,"2","1",2018-08-20,NA,5,NA,NA,NA,NA,10,2,NA,NA
NA,"3","1",2018-08-20,NA,1,NA,NA,NA,NA,11,NA,NA,2
NA,"3","1",2018-08-20,NA,2,NA,NA,NA,NA,6,NA,NA,NA
NA,"4","1",2018-08-20,NA,NA,NA,NA,NA,2,10,NA,NA,5
NA,"4","1",2018-08-20,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-08-20,NA,NA,NA,NA,NA,1,13,1,NA,2
NA,"5","1",2018-08-20,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"6","1",2018-08-20,NA,NA,NA,NA,NA,2,10,NA,NA,4
NA,"6","1",2018-08-20,1,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-08-20,1,NA,NA,NA,NA,2,16,1,NA,7
NA,"7","1",2018-08-20,NA,5,NA,NA,1,NA,NA,NA,NA,NA
NA,"8","1",2018-08-20,NA,NA,NA,NA,1,1,11,NA,NA,2
NA,"8","1",2018-08-20,NA,2,NA,NA,NA,NA,10,2,NA,NA
NA,"9","1",2018-08-20,NA,NA,NA,NA,NA,2,2,3,NA,1
NA,"9","1",2018-08-20,NA,2,NA,NA,NA,NA,2,NA,NA,NA
NA,"1","1",2018-08-27,NA,NA,NA,NA,NA,NA,6,1,NA,NA
NA,"10","1",2018-08-27,NA,1,NA,NA,NA,1,7,NA,NA,3
NA,"2","1",2018-08-27,NA,NA,NA,NA,NA,3,9,NA,NA,5
NA,"3","1",2018-08-27,NA,NA,NA,NA,1,3,7,1,NA,NA
NA,"4","1",2018-08-27,NA,NA,NA,NA,NA,NA,1,1,NA,1
NA,"5","1",2018-08-27,NA,NA,NA,NA,NA,1,11,1,NA,NA
NA,"6","1",2018-08-27,1,1,NA,NA,2,3,11,2,NA,1
NA,"7","1",2018-08-27,1,NA,NA,NA,NA,4,13,NA,NA,1
NA,"8","1",2018-08-27,NA,1,NA,NA,NA,NA,13,NA,NA,1
NA,"9","1",2018-08-27,NA,NA,NA,NA,NA,1,8,NA,NA,1
NA,"1","1",2018-09-04,1,NA,NA,NA,1,1,6,4,NA,NA
NA,"1","1",2018-09-04,2,2,NA,NA,1,NA,NA,NA,NA,NA
NA,"10","1",2018-09-04,NA,NA,NA,NA,NA,NA,8,2,NA,3
NA,"2","1",2018-09-04,1,NA,NA,NA,NA,NA,12,2,NA,4
NA,"2","1",2018-09-04,1,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,"3","1",2018-09-04,NA,NA,NA,NA,NA,NA,10,4,NA,1
NA,"3","1",2018-09-04,1,3,NA,NA,NA,NA,8,2,NA,NA
NA,"4","1",2018-09-04,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
NA,"4","1",2018-09-04,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-09-04,NA,NA,NA,NA,NA,6,6,1,NA,2
NA,"5","1",2018-09-04,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
NA,"6","1",2018-09-04,NA,1,NA,NA,NA,NA,12,2,NA,2
NA,"6","1",2018-09-04,1,4,NA,NA,NA,NA,9,NA,NA,NA
NA,"7","1",2018-09-04,NA,NA,NA,NA,NA,1,13,1,NA,7
NA,"7","1",2018-09-04,NA,9,NA,NA,NA,NA,11,NA,NA,NA
NA,"8","1",2018-09-04,NA,NA,NA,NA,NA,NA,3,2,NA,4
NA,"8","1",2018-09-04,1,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-09-04,NA,NA,NA,NA,NA,NA,6,1,NA,1
NA,"9","1",2018-09-04,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
NA,"1","1",2018-09-10,NA,NA,NA,NA,NA,2,3,1,NA,NA
NA,"1","1",2018-09-10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10","1",2018-09-10,NA,NA,NA,NA,NA,NA,3,1,NA,NA
NA,"10","1",2018-09-10,NA,1,NA,NA,NA,NA,1,NA,NA,NA
NA,"2","1",2018-09-10,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"2","1",2018-09-10,1,1,NA,NA,NA,NA,2,NA,NA,NA
NA,"3","1",2018-09-10,NA,NA,NA,NA,NA,1,7,NA,NA,1
NA,"3","1",2018-09-10,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"4","1",2018-09-10,NA,NA,NA,NA,NA,NA,1,NA,NA,2
NA,"4","1",2018-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-09-10,NA,NA,NA,NA,1,NA,5,NA,NA,NA
NA,"5","1",2018-09-10,2,NA,NA,NA,1,NA,3,NA,NA,NA
NA,"6","1",2018-09-10,NA,NA,NA,NA,NA,1,6,NA,NA,NA
NA,"6","1",2018-09-10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-09-10,NA,NA,NA,NA,NA,NA,4,1,NA,2
NA,"7","1",2018-09-10,NA,NA,NA,NA,NA,NA,4,1,NA,NA
NA,"8","1",2018-09-10,NA,NA,NA,NA,1,1,14,NA,NA,NA
NA,"8","1",2018-09-10,1,1,NA,NA,1,NA,NA,NA,NA,NA
NA,"9","1",2018-09-10,NA,NA,NA,NA,NA,2,5,1,NA,NA
NA,"9","1",2018-09-10,1,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1","1",2018-09-17,NA,NA,NA,NA,NA,NA,2,3,NA,1
NA,"1","1",2018-09-17,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"10","1",2018-09-17,NA,NA,NA,NA,NA,NA,5,2,NA,3
NA,"10","1",2018-09-17,1,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-09-17,NA,NA,NA,NA,NA,NA,8,NA,NA,2
NA,"2","1",2018-09-17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"3","1",2018-09-17,NA,NA,NA,NA,NA,NA,4,1,NA,2
NA,"3","1",2018-09-17,2,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,"4","1",2018-09-17,NA,NA,NA,NA,NA,NA,3,1,NA,2
NA,"4","1",2018-09-17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-09-17,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"5","1",2018-09-17,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
NA,"6","1",2018-09-17,NA,NA,NA,NA,NA,NA,6,NA,NA,5
NA,"6","1",2018-09-17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-09-17,NA,NA,NA,NA,NA,NA,8,3,NA,4
NA,"7","1",2018-09-17,NA,NA,NA,NA,NA,NA,5,5,NA,NA
NA,"8","1",2018-09-17,NA,NA,NA,NA,NA,NA,4,NA,NA,2
NA,"8","1",2018-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-09-17,NA,NA,NA,NA,NA,NA,4,2,NA,2
NA,"9","1",2018-09-17,NA,NA,NA,NA,NA,NA,5,2,NA,NA
NA,"1","1",2018-09-24,NA,NA,1,NA,NA,NA,4,1,NA,NA
NA,"1","1",2018-09-24,1,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,"10","1",2018-09-24,NA,NA,NA,NA,NA,NA,5,NA,NA,2
NA,"10","1",2018-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-09-24,NA,NA,NA,NA,NA,NA,7,NA,NA,2
NA,"2","1",2018-09-24,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"3","1",2018-09-24,1,NA,NA,NA,NA,NA,7,1,NA,4
NA,"3","1",2018-09-24,5,3,NA,NA,NA,NA,5,NA,NA,NA
NA,"4","1",2018-09-24,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"4","1",2018-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-09-24,NA,NA,NA,NA,NA,NA,6,NA,NA,3
NA,"5","1",2018-09-24,1,NA,NA,NA,NA,NA,7,NA,NA,NA
NA,"6","1",2018-09-24,NA,NA,NA,NA,NA,NA,10,NA,NA,2
NA,"6","1",2018-09-24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-09-24,NA,NA,NA,NA,NA,NA,9,NA,NA,2
NA,"7","1",2018-09-24,1,1,NA,NA,NA,NA,7,NA,NA,NA
NA,"8","1",2018-09-24,NA,NA,NA,NA,NA,NA,8,1,NA,2
NA,"8","1",2018-09-24,4,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-09-24,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
NA,"9","1",2018-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"1","1",2018-10-01,NA,NA,NA,NA,NA,NA,7,2,NA,3
NA,"1","1",2018-10-01,2,7,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10","1",2018-10-01,1,NA,NA,NA,NA,NA,13,NA,NA,1
NA,"10","1",2018-10-01,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-10-01,NA,NA,NA,NA,NA,1,11,NA,NA,5
NA,"2","1",2018-10-01,3,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,"3","1",2018-10-01,1,NA,NA,NA,NA,NA,15,NA,NA,1
NA,"3","1",2018-10-01,5,NA,NA,NA,NA,NA,6,NA,1,NA
NA,"4","1",2018-10-01,1,NA,NA,NA,NA,NA,10,1,NA,3
NA,"4","1",2018-10-01,4,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-10-01,NA,1,NA,NA,NA,NA,10,2,NA,5
NA,"5","1",2018-10-01,4,4,NA,NA,NA,NA,5,NA,NA,NA
NA,"6","1",2018-10-01,1,NA,NA,NA,NA,NA,5,4,NA,3
NA,"6","1",2018-10-01,1,2,1,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-10-01,1,NA,NA,NA,NA,NA,5,2,NA,2
NA,"7","1",2018-10-01,3,1,NA,NA,NA,NA,3,NA,1,NA
NA,"8","1",2018-10-01,1,NA,NA,NA,NA,NA,12,NA,NA,3
NA,"8","1",2018-10-01,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-10-01,NA,NA,NA,NA,NA,NA,14,1,NA,2
NA,"9","1",2018-10-01,6,NA,NA,NA,NA,NA,8,2,NA,NA
NA,"1","1",2018-10-08,NA,NA,NA,NA,NA,NA,8,1,NA,2
